食物名称,能量,蛋白质,脂肪,碳水化合物
细香葱[香葱，四季葱],28,1.4,0.3,6.6
洋葱（鲜）[葱头],40,1.1,0.2,9
洋葱(白皮，脱水),342,5.5,0.4,81.9
洋葱(紫皮，脱水),339,6.9,0.4,80.6
韭黄（韭芽，黄色）,24,2.3,0.2,3.9
韭薹,37,2.2,0.1,7.8
韭菜,25,2.4,0.4,4.5
薤[皎头],1,—,—,—
薤白(鲜）[小根蒜，山蒜，团蒜],124,3.4,0.4,27.1
黄洋葱（炒）,208,3.2,6.8,34.1
红洋葱,34,0.9,0.1,9
大蒜（带皮）,128,4.5,0.2,27.6
大蒜（去皮）,128,4.5,0.2,27.6
蒜薹（带帽）,66,2,0.1,15.4
蒜薹（去帽）,66,2,0.1,15.4
大葱（带皮）,49,2.4,0.1,10.2
大葱（去皮）,49,2.4,0.1,10.2
大白菜(代表值),20,1.6,0.2,3.4
大白菜(白梗)[黄芽白],22,1.7,0.2,3.7
大白菜(青白口),17,1.4,0.1,3
大白菜(小白口),16,1.3,0.1,2.8
白菜(脱水),305,6.2,0.8,72.9
白菜薹[菜薹，菜心],28,2.8,0.5,4
红菜薹[紫菜薹],43,2.9,2.5,2.7
瓢儿白[瓢儿菜],18,1.7,0.2,3.2
乌菜[乌塌菜，塌棵菜],28,2.6,0.4,4.2
油菜(黑),19,1.8,0.2,2.9
油菜(脱水),316,7.6,0.6,74.3
油菜(小),12,1.3,0.2,1.6
油菜薹[菜薹],24,3.2,0.4,3
大白菜（白口),14,1,0.1,2.9
大白菜（青口）,12,1.1,0.1,2.6
酸白菜[酸菜],10,0.7,0.2,2.6
小白菜,14,1.4,0.3,2.4
奶白菜,21,2.7,0.2,3.3
鸡毛菜,19,2.7,0.2,2.6
娃娃菜,13,1.9,0.2,2.4
乌塌菜[塌菜，塌棵菜],13,1.8,0.1,2.6
油菜,14,1.3,0.5,2
油菜心,15,1.3,0.4,2.7
圆白菜[卷心菜],24,1.5,0.2,4.6
菜花(脱水)[脱水花椰菜],312,6.5,0.6,76.8
芥菜（鲜）[雪里红，雪菜],27,2,0.4,4.7
芥菜(大叶，鲜)[盖菜],16,1.8,0.4,2
芥菜(茎用，鲜)[青头菜],13,1.3,0.2,2.8
芥菜(小叶，鲜)[小芥菜],26,2.5,0.4,3.6
结球甘蓝（绿）[圆白菜],17,0.9,0.2,4
结球甘蓝（紫）[圆白菜],25,1.2,0.2,6.2
抱子甘蓝[小圆白菜],36,3.5,0.2,8.8
羽衣甘蓝,69,5,0.4,5.7
盖菜,13,1.5,0.2,2.8
芥蓝[甘蓝菜，盖蓝菜],24,3.1,0.3,4.1
菜花（白色）[花椰菜],20,1.7,0.2,4.2
西兰花[绿菜花],27,3.5,0.6,3.7
菠菜（鲜）[赤根菜],28,2.6,0.3,4.5
菠菜(脱水),308,6.4,0.6,75.7
冬寒菜（鲜）[冬苋菜，冬葵],34,3.9,0.4,4.9
胡萝卜缨(红，鲜),48,1.7,0.4,11.3
苦菜[节节花，拒马菜],46,2.8,0.6,10
萝卜缨(白),17,2.6,0.3,1.7
萝卜缨(青),38,3.1,0.1,7.6
萝卜缨(小萝卜),23,1.6,0.3,4.1
落葵[木耳菜，软浆菜],23,1.6,0.3,4.3
芹菜茎,22,1.2,0.2,4.5
芹菜叶（鲜）,35,2.6,0.6,5.9
甜菜叶（鲜）,22,1.8,0.1,4
香菜（鲜）[芫荽],33,1.8,0.4,6.2
香菜(脱水),310,7.4,1.3,71.2
苋菜(绿，鲜),30,2.8,0.3,5
苋菜(紫，鲜)[红苋],35,2.8,0.4,5.9
茼蒿（鲜）[蓬蒿菜，艾菜],24,1.9,0.3,3.9
茴香（鲜）[小茴香],27,2.5,0.4,4.2
荠菜（鲜）[蓟菜，菱角菜],31,2.9,0.4,4.7
莴笋（鲜）[莴苣],15,1,0.1,2.8
番杏[新西兰菠菜，夏菠菜],15,1.8,0.1,3.1
樱桃萝卜缨,14,2,0.1,2.7
白凤菜,16,1.6,0.2,4
紫背天葵[红风菜，血皮菜],18,1.9,—,3.8
芹菜(茎)[旱芹，药芹],13,0.4,0.2,3.1
西芹[西洋芹菜，美芹],17,0.6,0.1,4.8
生菜(叶用莴苣),12,1.6,0.4,1.1
油麦菜,12,1.1,0.4,2.1
叶甜菜（白梗）,13,1.6,0.1,2.8
莴笋叶[莴苣叶],15,1,0.2,2.9
蕹菜[空心菜，藤藤菜],19,2.2,0.2,4
观达菜[根达菜，牛皮菜],23,1.9,0.3,4.5
球茎茴香[甜茴香、意大利茴香],17,1.2,Tr,4.7
竹笋（鲜）,23,2.6,0.2,3.6
白笋(干),282,26,4,57.1
鞭笋（鲜）[马鞭笋],24,2.6,Tr,6.7
春笋（鲜）,25,2.4,0.1,5.1
冬笋（鲜）,42,4.1,0.1,6.5
黑笋(干),268,17.6,2.4,57.5
毛笋（鲜）[毛竹笋],23,2.2,0.2,3.8
玉兰片,66,2.6,0.4,18.6
百合（鲜）,166,3.2,0.1,38.8
百合(脱水),346,8.1,0.1,79.1
金针菜（鲜）[黄花菜],214,19.4,1.4,34.9
菊苣,19,1.3,0.2,3.4
芦笋（绿）[石刁柏，龙须菜],19,2.6,0.1,3.3
芦笋（紫）,22,2.7,0.2,3.4
