食物名称,能量,蛋白质,脂肪,碳水化合物
对虾肉,93,18.6,0.8,2.8
海虾（整只虾）,79,16.8,0.6,1.5
海虾肉,79,16.8,0.6,1.5
河虾（整只虾）,87,16.4,2.4,0
河虾肉,87,16.4,2.4,0
基围虾（整只虾）,101,18.2,1.4,3.9
基围虾肉,101,18.2,1.4,3.9
江虾（整只虾）,87,10.3,0.9,9.3
龙虾（整只虾）,90,18.9,1.1,1
龙虾肉,90,18.9,1.1,1
明虾（整只虾）,85,13.4,1.8,3.8
明虾肉,85,13.4,1.8,3.8
草虾（整只虾）,96,21.2,1.2,0
草虾肉,96,21.2,1.2,0
虾虎（整只虾）,81,11.6,1.7,4.8
虾虎肉,81,11.6,1.7,4.8
螯虾（整只虾）,93,14.8,3.8,0
鳌虾肉,93,14.8,3.8,0
皮皮虾（整只虾）,82,14.8,1.7,1.8
皮皮虾肉,82,14.8,1.7,1.8
蟹（海蟹）,95,13.8,2.3,4.7
蟹（河蟹）,103,17.5,2.6,2.3
踞缘青蟹[青蟹],80,14.6,1.6,1.7
梭子蟹,95,15.9,3.1,0.9
蟹肉,62,11.6,1.2,1.1
海蟹(小),81,14.2,1.1,3.6
锯缘青蟹（公）（鲜）,126,16.7,5.2,3.1
锯缘青蟹（母）（鲜）,155,17.3,7.5,4.5
大闸蟹（母）,156,21,7.7,0.6
海蟹（公）,85,18,0.3,2.5
海蟹（母）,64,14.2,0.3,1.2
蟹足棒,123,9,0.6,20.5
蟹膏（大闸蟹，蒸）,167,15.4,9.8,4.4
蟹肉（大闸蟹，公，蒸）,128,24.2,3.4,Tr
蟹黄（大闸蟹，蒸）,255,24,17.2,1.2
蟹肉（大闸蟹，母，蒸）,131,22.4,4.2,0.9
梭子蟹(公，蒸）,79,19,0.2,Tr
梭子蟹(母，蒸）,101,24.1,0.4,Tr
帝王蟹US,84,18.3,0.6,0
蓝蟹US,87,18.1,1.1,0
珍宝蟹US,86,17.4,1,0.7
雪蟹US,90,18.5,1.2,0
海蟹（带壳）,95,13.8,2.3,4.7
海蟹（去壳）,95,13.8,2.3,4.7
河蟹（带壳）,103,17.5,2.6,2.3
河蟹（去壳）,103,17.5,2.6,2.3
踞缘青蟹（带壳）,80,14.6,1.6,1.7
锯缘青蟹（去壳）,80,14.6,1.6,1.7
梭子蟹（带壳）,95,15.9,3.1,0.9
梭子蟹（去壳）,95,15.9,3.1,0.9
大闸蟹（带壳）,156,21,7.7,0.6
大闸蟹（去壳）,156,21,7.7,0.6
公梭子蟹（蒸，带壳）,79,19,0.2,Tr
公梭子蟹（蒸，去壳）,79,19,0.2,Tr
母梭子蟹（蒸，带壳）,101,24.1,0.4,Tr
母梭子蟹（蒸，去壳）,101,24.1,0.4,Tr
鲍鱼[杂色鲍],84,12.6,0.8,6.6
鲍鱼(干),322,54.1,5.6,13.7
蛏子,40,7.3,0.3,2.1
蛏干[蛏子缢，蛏青子],340,46.5,4.9,27.4
赤贝,61,13.9,0.6,0
河蚌,54,10.9,0.8,0.7
河蚬[蚬子],47,7,1.4,1.7
牡蛎[海蛎子],73,5.3,2.1,8.2
生蚝,57,10.9,1.5,0
泥蚶[血蚶，珠蚶],71,10,0.8,6
扇贝(鲜),60,11.1,0.6,2.6
扇贝(干)[干贝],264,55.6,2.4,5.1
鲜贝,77,15.7,0.5,2.5
银蚶[蚶子],71,12.2,1.4,2.3
贻贝(鲜)[淡菜，壳菜],80,11.4,1.7,4.7
贻贝(干)[淡菜，壳菜],355,47.8,9.3,20.1
海蚌[西施舌],42,9.5,0.3,0.2
鲍鱼（皱纹鲍）,75,13.7,0.1,4.8
蛤蜊(均值),62,10.1,1.1,2.8
蛤蜊(花蛤蜊),45,7.7,0.6,2.2
蛤蜊(毛蛤蜊),97,15,1,7.1
蛤蜊(秋蛤蜊),89,15.6,0.7,5
蛤蜊(沙蛤蜊),56,8.9,1.9,0.8
蛤蜊(杂色蛤蜊),53,7.5,2.2,0.7
螺(均值),100,15.7,1.2,6.6
红螺,119,20.2,0.9,7.6
黄螺[东风螺],106,19.8,1,4.5
螺蛳,59,7.5,0.6,6
石螺,90,12.8,0.7,8.2
田螺,60,11,0.2,3.6
香海螺,163,22.7,3.5,10.1
海蚌（鲜）,51,6.9,0.2,5.5
海蚌（漳港海蚌，鲜）,64,9.4,0.7,4.9
蛏子（焯）,67,13.5,0.9,1.1
缢蛏（鲜）,73,8.6,1.8,5.6
牛角江珧蛤（鲜）[长带子],49,7.1,0.5,4
文蛤（鲜）,56,9.2,0.7,3.2
血蚶（鲜）,51,8.2,0.5,3.3
六角螺（鲜）,118,23.5,0.5,4.8
海螺肉（干）,295,65.7,0.5,7
文蛤丸,211,16.2,9.2,15.8
蛏子（带壳）,40,7.3,0.3,2.1
蛏子肉,40,7.3,0.3,2.1
赤贝（带壳）,61,13.9,0.6,0
赤贝肉,61,13.9,0.6,0
河蚌（带壳）,54,10.9,0.8,0.7
河蚌肉,54,10.9,0.8,0.7
蚬子（带壳）,47,7,1.4,1.7
蚬子肉,47,7,1.4,1.7
扇贝（带壳）,60,11.1,0.6,2.6
扇贝肉,60,11.1,0.6,2.6
贻贝（带壳）,80,11.4,1.7,4.7
海虹肉,80,11.4,1.7,4.7
鲍鱼（带壳）,75,13.7,0.1,4.8
鲍鱼肉,75,13.7,0.1,4.8
田螺（带壳）,60,11,0.2,3.6
田螺肉,60,11,0.2,3.6
海蚌（带壳）,51,6.9,0.2,5.5
海蚌肉,51,6.9,0.2,5.5
蛏子（焯，带壳）,67,13.5,0.9,1.1
蛏子（焯，去壳）,67,13.5,0.9,1.1
缢蛏（带壳）,73,8.6,1.8,5.6
缢蛏（去壳）,73,8.6,1.8,5.6
牛角江珧蛤（带壳）,49,7.1,0.5,4
牛角江珧蛤（去壳）,49,7.1,0.5,4
文蛤（带壳）,56,9.2,0.7,3.2
文蛤（去壳）,56,9.2,0.7,3.2
血蚶（带壳）,51,8.2,0.5,3.3
血蚶（去壳）,51,8.2,0.5,3.3
六角螺（带壳）,118,23.5,0.5,4.8
六角螺（去壳）,118,23.5,0.5,4.8
蛤蜊（带壳）,62,10.1,1.1,2.8
蛤蜊肉,62,10.1,1.1,2.8
螺（带壳）,100,15.7,1.2,6.6
螺肉,100,15.7,1.2,6.6
海参,78,16.5,0.2,2.5
海参(干),262,50.2,4.8,4.5
海参(水浸),25,6,0.1,0
海蜇皮,33,3.7,0.3,3.8
海蜇头,74,6,0.3,11.8
墨鱼（鲜，曼氏无针乌贼）,83,15.2,0.9,3.4
墨鱼(干，曼氏无针乌贼）,287,65.3,1.9,2.1
鱿鱼(鲜，中国枪乌贼）[枪乌贼],84,17.4,1.6,0
鱿鱼(干，中国枪乌贼）,313,60,4.6,7.8
鱿鱼(水浸),75,17,0.8,0
乌鱼蛋,66,14.1,1.1,0
章鱼(章鱼肉）[八爪鱼],52,10.6,0.4,1.4
章鱼[八爪鱼],135,18.9,0.4,14
甲鱼蛋,128,12.5,7.3,3
乌龟（龟板）,466,9.9,44.4,6.8
乌龟（肉）,250,14.5,21.1,0.4
金鲨鱼翅（干）,350,84.1,0.5,2.3
鱼翅（干）,362,88.4,0.9,0
棘参（鲜）,21,4.1,0,1.2
海参（干）,302,64,0.9,9.5
梅花参（泡发）,73,11.7,0.9,4.5
墨鱼（干),313,71.6,1.1,4.2
墨鱼圈,72,13,2.2,0
墨鱼丸,128,13.4,4.7,8
甜不辣（安井）,159,9.9,8.7,10.4
1段配方奶粉,511,11.7,26.6,56.7
婴儿配方奶粉（爱+新生儿配方奶粉1阶段）,517,12,27,56.9
婴儿配方奶粉（爱+婴儿配方奶粉2阶段）,515,12.5,27,55.9
婴儿配方奶粉（贝因美初生婴儿配方奶粉）,514,12.3,26.8,56.2
婴儿配方奶粉（超级飞帆婴儿配方奶粉Ⅳ）,519,12,27.1,57.6
婴儿配方奶粉（多美滋多乐加婴儿配方奶粉1阶段）,503,11.1,25.8,57.4
婴儿配方奶粉（多美滋优阶贝护婴儿配方奶粉）,484,10.4,26,52.2
婴儿配方奶粉（飞帆婴儿配方奶粉Ⅱ）,518,12,27,57.6
婴儿配方奶粉（合生元超级呵护婴儿配方奶粉1阶段）,503,11.8,25,58.7
婴儿配方奶粉（亨氏超金康儿高婴儿配方奶粉1阶段）,501,11,26,57.3
婴儿配方奶粉（惠氏金装爱儿乐婴儿配方奶粉）,534,11,29,58.4
婴儿配方奶粉（美素佳儿GOLD金装婴儿配方奶粉）,510,10.6,27,57.1
婴儿配方奶粉（美赞臣安婴儿婴儿配方奶粉）,514,10.5,26,61
婴儿配方奶粉（明治珍爱儿婴儿配方奶粉）,513,12.2,25.9,58.8
婴儿配方奶粉（能慧金装婴儿配方奶粉）,508,11.5,27.3,55.1
婴儿配方奶粉（雀巢力多精婴儿配方奶粉1）,502,10.3,25.5,58.9
婴儿配方奶粉（雀巢能恩全进口奶源婴儿配方奶粉1）,515,9.9,27.2,57.6
婴儿配方奶粉（三元爱力优婴儿配方奶粉）,520,12.5,27.8,55.5
婴儿配方奶粉（三元爱欣宝金装婴儿配方奶粉）,517,12.5,27.3,56.1
婴儿配方奶粉（三元爱欣宝婴儿配方奶粉）,517,12.8,27.2,56.1
婴儿配方奶粉（三元金装爱力优婴儿配方奶粉）,515,12.5,27.5,55
婴儿配方奶粉（圣元优博爱系列1婴儿配方奶粉）,511,11.6,27,55.3
婴儿配方奶粉（圣元优聪金装婴儿配方奶粉）,493,11.8,25,55.2
婴儿配方奶粉（特选初生婴儿配方奶粉1阶段）,514,12.3,26.8,56.2
婴儿配方奶粉（完达山1段配方奶粉婴儿配方奶粉）,509,12.5,26,56.5
婴儿配方奶粉（完达山金装元乳婴儿配方奶粉）,509,12.5,26,56.5
婴儿配方奶粉（完达山育儿慧金装婴儿配方奶粉1阶段）,508,12.4,25.8,56.8
婴儿配方奶粉（完达山元乳婴儿配方奶粉1阶段）,509,12.5,26,56.5
婴儿配方奶粉（雅培金装喜康宝婴儿配方奶粉）,503,10.6,26,58.2
婴儿配方奶粉（雅士利α-金装婴儿配方奶粉）,508,11.8,27.1,55.2
婴儿配方奶粉（伊利金领冠婴儿配方奶粉）,507,11.1,27.5,54.3
婴儿配方奶粉（伊利金装婴儿配方奶粉）,517,10.9,27,60.5
婴儿配方奶粉（伊利婴儿配方奶粉）,509,11,27,56
婴儿配方羊奶粉（美可高特小婴儿配方羊奶粉）,507,13.6,25.5,55.9
婴儿配方豆粉（三元爱力优豆基婴儿配方粉）,520,13.3,27.6,54.7
较大婴儿配方奶粉（超级飞帆较大婴儿配方奶粉Ⅳ）,482,15.2,21.5,57.6
2段配方奶粉,478,15.9,21.4,56.1
较大婴儿配方奶粉（多美滋多领加较大婴儿配方奶粉2阶段）,477,16,21.3,56.1
较大婴儿配方奶粉（多美滋优阶贝护延续较大婴儿配方奶粉）,455,15.2,20.4,52.6
较大婴儿配方奶粉（飞帆较大婴儿配方奶粉Ⅱ）,482,15,21.5,57.8
较大婴儿配方奶粉（合生元超级呵护较大婴儿配方奶粉2阶段）,483,15,22.5,56.5
较大婴儿配方奶粉（亨氏超金智儿高较大婴儿配方奶粉2段）,477,15.5,21,57.8
较大婴儿配方奶粉（惠氏金装健儿乐较大婴儿和幼儿配方奶粉）,482,15,22,57.2
较大婴儿配方奶粉（美素佳儿GOLD金装较大婴儿配方奶粉）,478,14.7,21,59
较大婴儿配方奶粉（美赞臣安婴宝较大婴儿配方奶粉）,473,15.2,18.9,61.8
较大婴儿配方奶粉（明治珍爱宝较大婴儿和幼儿配方奶粉）,468,14.5,18,62.9
较大婴儿配方奶粉（能慧金装较大婴儿配方奶粉）,475,17.1,21.5,54.3
较大婴儿配方奶粉（欧世蒙牛金装佳智较大婴儿配方奶粉2阶段）,474,15.2,22.9,51.8
较大婴儿配方奶粉（完达山2段配方奶粉较大婴儿配方奶粉）,485,16,22.5,55.1
较大婴儿配方奶粉（完达山金装元乳较大婴儿配方奶粉）,489,15.8,22.5,56.3
较大婴儿配方奶粉（完达山育儿慧金装较大婴儿配方奶粉2阶段）,485,15.9,22.5,55.2
较大婴儿配方奶粉（完达山元乳较大婴儿配方奶粉2阶段）,489,15.8,22.5,56.2
较大婴儿配方奶粉（雅士利α-金装较大婴儿配方奶粉）,475,17.5,21.3,54.2
较大婴儿配方羊奶粉（美可高较大婴儿配方羊奶粉）,494,20.9,25.1,46.6
较大婴儿和幼儿配方奶粉（爱+婴幼儿配方奶粉3阶段）,483,15.8,21.5,56.9
较大婴儿和幼儿配方奶粉（爱+婴幼儿配方奶粉4阶段）,481,16.5,21,56.9
较大婴儿和幼儿配方奶粉（贝因美较大婴儿配方奶粉）,488,15.8,22.5,56
较大婴儿和幼儿配方奶粉（超级能恩较大婴儿及幼儿配方奶粉2段）,494,14.8,22.7,57.6
较大婴儿和幼儿配方奶粉（雀巢力多精较大幼儿及幼儿配方奶粉2）,470,14.8,19.8,59.1
较大婴儿和幼儿配方奶粉（雀巢能恩全进口奶源较大婴儿及幼儿配方奶粉2）,478,15,20.2,59.1
较大婴儿和幼儿配方奶粉（三元爱力优较大婴儿及幼儿配方奶粉）,462,16.6,19.6,55.2
较大婴儿和幼儿配方奶粉（三元爱欣宝金装较大婴儿及幼儿配方奶粉）,462,16.5,19.7,55.6
较大婴儿和幼儿配方奶粉（三元金装爱力优较大婴儿及幼儿配方奶粉）,465,16.4,20,55.2
较大婴儿和幼儿配方奶粉（圣元优博爱系列2较大婴儿及幼儿配方奶粉）,481,15,21.8,56.1
较大婴儿和幼儿配方奶粉（圣元优聪金装较大婴儿及幼儿配方奶粉）,482,15.5,21.5,56.5
较大婴儿和幼儿配方奶粉（特选宝宝成长配方奶粉2阶段）,488,15.8,22.5,56
较大婴儿和幼儿配方奶粉（雅培金装喜康宝较大婴幼儿配方奶粉）,487,17,23.8,52.6
较大婴儿和幼儿配方奶粉（雅培琴护金装较大婴儿及幼儿配方奶粉2阶段）,493,15.5,23.8,54.7
较大婴儿和幼儿配方奶粉（伊利较大婴幼儿配方奶粉）,463,16.4,19,57.1
较大婴儿和幼儿配方奶粉（伊利金领冠较大婴儿及幼儿配方奶粉）,470,17,20.5,54.9
较大婴儿和幼儿配方奶粉（伊利金装较大婴幼儿配方奶粉）,467,16.2,20,56
幼儿配方奶粉（贝因美幼儿成长配方奶粉）,484,16.5,21.6,56.2
3段配方奶粉,494,13.8,24,56.4
幼儿配方奶粉（超级飞帆幼儿配方奶粉Ⅳ）,467,18.3,19,56.4
幼儿配方奶粉（超级能恩幼儿配方奶粉3段）,494,14.8,22.7,57.6
幼儿配方奶粉（多美滋多学1加幼儿配方奶粉3阶段）,450,16,16,61.1
幼儿配方奶粉（多美滋优阶幼儿配方奶粉）,438,16,16,57.6
幼儿配方奶粉（多美滋幼衡多营养幼儿配方奶粉）,449,16,16,60.9
幼儿配方奶粉（飞帆幼儿配方奶粉Ⅱ）,467,18,19,56.7
幼儿配方奶粉（合生元超极呵护幼儿配方奶粉3阶段）,464,15,19,59.8
幼儿配方奶粉（亨氏超金学儿高幼儿配方奶粉3段）,476,16.5,21,56.4
幼儿配方奶粉（惠氏金装膳儿加幼儿全营养配方奶粉）,455,16,16,62.4
幼儿配方奶粉（惠氏金装幼儿乐幼儿配方奶粉）,443,15,16,60.7
幼儿配方奶粉（美素佳儿GOLD金装幼儿配方奶粉）,449,17.1,16.2,59.9
幼儿配方奶粉（美赞臣安儿宝幼儿配方奶粉）,451,17.5,16.5,58
幼儿配方奶粉（能慧金装幼儿配方奶粉）,476,18,21.5,53.5
幼儿配方奶粉（欧世蒙牛金装佳智幼儿配方奶粉3阶段）,466,16.2,21.3,52.5
幼儿配方奶粉（雀巢力多精幼儿配方奶粉3）,353,14.8,19.8,29.7
幼儿配方奶粉（雀巢能恩全进口奶源幼儿配方奶粉3）,478,15,20.2,59.1
幼儿配方奶粉（三元爱力优幼儿配方奶粉）,465,18.6,19.5,54.1
幼儿配方奶粉（三元爱欣宝金装幼儿配方奶粉）,465,18.5,19.5,54.8
幼儿配方奶粉（三元爱欣宝幼儿配方奶粉）,464,18.1,19.5,54.9
幼儿配方奶粉（三元金装爱力优幼儿配方奶粉）,458,18.2,19,54.1
幼儿配方奶粉（圣元优博爱系列3幼儿配方奶粉）,460,16.8,18,57.6
幼儿配方奶粉（圣元优聪金装幼儿配方奶粉）,467,16.8,18.5,58.2
幼儿配方奶粉（特选健儿成长配方奶粉3阶段）,484,16.5,21.6,56.2
幼儿配方奶粉（完达山3段配方奶粉幼儿配方奶粉）,483,16.2,22,55.4
幼儿配方奶粉（完达山金装元乳幼儿配方奶粉）,487,16,22,56.7
幼儿配方奶粉（完达山育儿慧金装幼儿配方奶粉3阶段）,483,16,22,55.6
幼儿配方奶粉（完达山元乳幼儿配方奶粉3阶段）,486,16,22,56.5
幼儿配方奶粉（雅培金装喜康宝幼儿配方奶粉）,487,17,23.8,52.6
幼儿配方奶粉（雅培金装小安素全营养幼儿配方粉）,457,15,17.1,62.3
幼儿配方奶粉（雅士利α-金装幼儿配方奶粉）,473,18.3,21,53.7
幼儿配方奶粉（伊利金领冠幼儿配方奶粉）,470,17.5,20.5,54.3
幼儿配方奶粉（伊利金装幼儿配方奶粉）,457,17,17.8,57.6
幼儿配方奶粉（伊利幼儿配方奶粉）,459,17.6,19,54.9
幼儿配方奶粉（美可高特幼儿配方奶粉）,493,20.8,25,46.5
婴儿配方奶粉（超级能恩乳蛋白部分水解婴幼儿配方奶粉1段）,513,9.8,26,59.9
婴儿配方奶粉（雅培金装亲护乳蛋白部分水解婴幼儿配方奶粉1阶段）,512,11.8,27.5,54.9
婴儿配方奶粉（惠氏S-26金装爱儿加早产儿出院后配方奶粉）,524,14,28,54
米粉（贝因美果蔬多为营养米粉）,418,8,6,83.3
加铁米粉,384,7,1.7,86
米粉（贝因美乳清蛋白营养米粉）,418,6,6,83.3
米粉（多口味装）（亨氏多口味装婴儿营养米粉）,407,5.4,5,85.4
米粉（亨氏黑米红枣营养粉五谷系列米粉6至36个月适用）,414,12,5,80.4
米粉（亨氏胡萝卜营养米粉1段）,407,5.4,5,85.4
米粉(亨氏淮山薏米营养米粉清润系列1段）,407,5.4,5,85.4
米粉（亨氏混合蔬菜营养米粉辅食添加初期至36个月适用）,407,5.4,5,85.4
米粉（亨氏鸡肉蔬菜营养米粉肉鱼系列米粉6月至36个月适用）,414,12,5,80.4
米粉(亨氏南瓜营养米粉1段）,407,5.4,5,85.4
米粉（亨氏五谷杂粮营养米粉五谷系列米粉8至36个月）,415,13,5,79.8
米粉（亨氏鳕鱼苹果营养米粉6至36个月适用）,414,12,5,80.4
米粉（亨氏婴儿营养米粉辅食添加初期至36个月适用）,407,5.4,5,85.4
米粉（亨氏鱼肉蔬菜营养米粉6至36个月适用）,414,12,5,80.4
米粉（亨氏猪肝蔬菜营养米粉6至36个月适用）,414,12,5,80.4
米粉（嘉宝缤纷水果营养米粉2阶段）,385,6.2,1.9,87.2
米粉（嘉宝菠菜营养米粉2阶段）,385,6.4,1.9,87
米粉（嘉宝番茄牛肉营养米粉3阶段）,386,7.2,1.9,86.2
米粉（嘉宝胡萝卜营养米粉1阶段）,385,6.4,1.9,87
米粉（嘉宝燕麦营养米粉3阶段）,382,9.5,1.5,84.5
米粉（嘉宝营养米粉1阶段）,386,6.4,1.9,87
米粉（金装宝贝营养菠菜营养米粉）,385,6.4,1.9,87
米粉（金装宝贝营养钙铁锌营养米粉）,386,6.4,1.9,87
米粉（金装宝贝营养什锦水果营养米粉）,385,6.2,1.9,87.2
米粉（金装宝贝营养西红柿牛肉营养米粉）,386,7.2,1.9,86.2
米粉（金装宝贝营养燕麦营养米粉）,382,9.5,1.5,84.5
米粉（金装核桃营养米粉）,384,7.5,1.5,85
米粉（金装胡萝卜营养米粉）,384,6.5,1.5,86
米粉（金装牛肉菠菜营养米粉）,384,7.5,1.5,85
米粉（金装三文鱼胡萝卜营养米粉）,384,7.5,1.5,85
米粉（金装什果套餐营养米粉）,384,6.5,1.5,86
米粉（金装锌铁钙营养米粉）,384,7.5,1.5,85
米粉（金装猪肝蔬菜营养米粉）,384,7.5,1.5,85
米粉（圣元DHA&胡萝卜营养米粉1段）,431,7,5,92
米粉（圣元多维蔬菜营养米粉2段）,431,7,5,92
米粉（圣元钙铁锌营养米粉1段）,431,7,5,92
米粉（圣元淮山薏米营养米粉2段）,431,7,5,92
米粉（圣元肌肉香菇营养米粉3段）,433,7.5,5,92
米粉（圣元乳清蛋白营养米粉2段）,408,13,2,87
米粉（圣元什锦水果营养米粉2段）,431,7,5,92
米粉（圣元营养米粉1段）,431,7,5,92
米粉（圣元鱼肉菠菜营养米粉2段）,433,7.5,5,92
米粥（干）（方广鳕鱼胡萝卜营养雪花粥）,310,5.5,2,70
奶米粉（亨氏强化铁锌钙营养奶米粉辅食添加初期至36个月适用）,407,5.4,5,85.4
奶米粉（亨氏乳清蛋白营养米粉）,407,5.4,5,85.4
米粉（亨氏AD钙高蛋白营养米粉加奶补钙系列米粉6至36个月适用）,418,14,5,79.4
米粉（圣元高蛋白营养米粉3段）,408,13,2,87
面条（贝因美蛋黄营养面条）,99,11,5,—
宝宝面条,319,7.7,3,66
面条（贝因美果蔬营养面条）,99,11,5,—
面条（贝因美黑芝麻营养面条）,99,11,5,—
面条（方广金装彩棉核桃黑芝麻蔬菜营养面）,308,6,1.5,70
面条（亨氏金装粒粒面黑米紫薯面）,373,11.2,4.5,72
面条（伊威猪肝蔬菜营养面）,275,6,3,56
饼干（贝因美营养磨牙棒饼干）,377,8,50,75
饼干（方广科学配方宝宝机能饼干）,448,7,20,60
饼干（格兰宝小二七种蔬菜饼干）,415,11.5,16.8,57
饼干（嘉宝草莓苹果味星星泡芙饼干）,24,/,0,6
饼干（嘉宝香草圈圈饼干）,17,0,0.5,3
饼干（伊威全技能字母宝宝营养饼干）,507,8.5,23.5,65.5
骨髓蔬菜泥（亨氏骨髓蔬菜泥3段）,88,3.3,4.6,8.4
胡萝卜鱼肉泥（亨氏胡萝卜鱼肉泥2阶段）,54,4.4,1.4,6
混合蔬菜泥（亨氏混合蔬菜泥1阶段）,37,1.3,1,6.6
混合水果泥（亨氏混合水果泥1阶段）,66,1,10,13.2
苹果胡萝卜泥（亨氏苹果胡萝卜泥1阶段）,46,1,1,8.2
苹果南瓜红枣泥（亨氏苹果南瓜红枣泥2阶段）,52,1,1,9.7
苹果泥（亨氏金香苹果泥1阶段）,52,1,10,9.8
苹果香蕉泥（亨氏苹果香蕉泥1阶段）,70,1,1,14.2
三文鱼番茄泥（亨氏三文鱼番茄泥2阶段）,64,3.6,1.7,8.6
蔬菜骨泥（亨氏蔬菜骨泥2阶段）,42,3.2,1.5,4
甜嫩豌豆泥（亨氏甜嫩豌豆泥1阶段）,54,2.8,1,9.3
甜嫩玉米泥（亨氏甜嫩玉米泥）,50,1.9,1,8.4
香甜胡萝卜泥（亨氏香甜胡萝卜泥）,35,1,1,5.5
香甜南瓜泥（亨氏香甜南瓜泥1阶段）,33,/,1,6.9
冻干草莓脆果（果仙多维V草莓萃脆果（冻干））,352,4.2,0,83.7
肝粉（伊威全机能肝粉）,427,30,25.2,20
肝酥（方广宝宝营养猪肝酥）,420,25,20,35
肉松（伊威婴幼儿纯肉松）,430,22,22,36
肉酥（贝因美宝宝菠菜营养肉酥）,476,32,20,42
肉酥（贝因美宝宝胡萝卜营养肉酥）,476,32,20,42
肉酥（原味）（贝因美宝宝原味营养肉酥）,476,32,20,42
鳕鱼酥（方广宝宝野生鳕鱼酥）,420,25.8,20,35
苹果胡萝卜汁（亨氏苹果胡萝卜汁1阶段）,45,1,1,8
苹果汁（亨氏苹果汁1阶段）,46,1,1,8.2
葡萄汁（亨氏葡萄汁1阶段）,54,1,1,10.2
香橙汁（亨氏香橙汁1阶段）,43,10,1,7.5
香梨汁（亨氏香梨汁1阶段）,46,10,1,8.3
艾窝窝,190,4.3,Tr,43.4
白水羊头,193,22.4,11,1.2
茶汤,93,1.5,0.1,21.5
炒肝,96,2.8,8,3.3
春卷,465,6.1,33.7,34.8
豆腐脑(带卤),48,2.6,1.8,5.4
粉皮,62,0.2,0.3,15
灌肠,134,0.2,0.3,32.8
煎饼,354,7.6,0.7,83.8
焦圈,534,6.9,34.9,48.9
京八件,441,7.2,16.4,67.6
粟羊羹,302,3.7,0.6,70.9
凉粉,38,0.2,0.3,8.9
凉粉(带调料),51,0.3,0.5,11.3
凉面,167,4.8,1.7,33.3
龙虾片,342,0.6,0.1,85.5
驴打滚,198,8.2,0.2,41.8
美味香酥卷,368,7.5,3.6,76.7
蜜麻花[糖耳朵],369,4.8,11,63.2
蜜三刀,427,4.4,14.2,70.7
面窝,291,5.2,10.7,44
年糕,156,3.3,0.6,34.7
酿皮,107,4.4,0.3,21.8
青稞炒面,366,11.8,2.2,77
热干面,153,4.2,2.4,28.7
三刀蜜,385,4.1,10.5,69.3
三鲜豆皮,239,6,10.2,31
汤泡,237,8.1,11.6,25.2
甜胚子,131,5.2,0.2,27.2
甜醅,192,7.8,0.1,41
豌豆黄,138,7.5,0.6,26.7
香油炒面,410,12.4,4.8,80.1
油茶,96,2.4,0.9,20
油炸豆瓣,406,25.1,9.8,54.7
油炸豆花,404,33.4,14.8,35.1
炸糕,282,6.1,12.3,37.3
糌粑(稞麦熟品),261,4.1,13.1,32.5
春卷(素馅),182,4.9,4.6,33.8
黑芝麻汤圆,311,4.4,13.8,42.3
醪糟,100,2.6,0.2,22.4
过桥米线,92,4,3.8,11.8
蛋糕(X),348,8.6,5.1,67.1
蛋糕(黄蛋糕),320,9.5,6,57.1
蛋清蛋糕,339,6.5,2.4,72.9
宫廷蛋糕,335,7.4,3.4,69.2
老年蛋糕,384,13,9.6,61.8
奶油蛋糕,379,7.2,13.9,56.5
西式蛋糕,316,7.8,3.4,63.8
蛋糕(巧克力),437,4.7,30.4,40.2
蛋糕(水果),347,2.9,9.1,61.6
月饼(百寿宴点),435,5.1,22.1,55.3
月饼(豆沙),411,8.2,13.6,65.6
月饼(奶油果馅),443,5.7,16.9,67.6
月饼(奶油松仁),446,6.4,21.4,59
月饼(唐王赏月),418,8,18.4,57.8
月饼(五仁),424,8,16,64
月饼(香油果馅),456,6.3,19.7,65.2
月饼(枣泥),427,7.1,15.7,64.9
月饼(蛋黄),399,6,20,50.2
月饼(桂花板栗),331,5.7,6.6,66.3
月饼(奶油莲芸),361,5.5,13,60.4
板油酥饼,360,7.6,14.9,49.4
蛋黄酥,388,11.7,3.9,76.9
蛋麻脆,456,9,17.4,66.7
德庆酥,464,5.9,18.7,70
鹅油卷,464,8.4,22.7,57.4
凤尾酥,511,6.6,25.3,64.2
福来酥,470,6.2,21.4,64.2
核桃薄脆,493,9.8,24.6,61.1
黑麻香酥,443,5.6,16.1,70.6
黑洋酥,432,4.2,12.4,79.7
混糖糕点,455,7.9,16.3,69.5
鸡腿酥,436,6.2,13.4,72.7
夹心酥饼,482,5.3,24.7,59.7
江米条,440,5.7,11.7,78.1
金钱酥,489,11.4,23.1,62.6
京式黄酥,490,6,21.8,67.7
开口笑,519,8.4,30,55.3
廖花糖,415,7.2,14,70.8
绿豆糕,351,12.8,1,73.4
麻烘糕,398,3.8,3.8,87.2
麻花,527,8.3,31.5,53.4
麻香糕,402,3.9,3.6,88.7
米花糖,385,3.1,3.3,85.8
起酥,500,8.7,31.7,45.1
水晶饼,438,0.2,17.4,70.5
酥皮糕点,429,8.1,15.5,65
桃酥,483,7.1,21.8,65.1
硬皮糕点,466,8.4,20.1,63.5
芝麻桃酥,467,7,17.7,70.1
状元饼,437,8.6,14.7,68.1
茯苓夹饼,345,4.4,0.4,84.3
沙琪玛蛋酥,506,5.9,30.4,55.1
香橙水果馅饼,445,4.8,19,64.2
