食物名称,能量,蛋白质,脂肪,碳水化合物,serving_grams
孜然炒羊肉,,,,,
滋补羊肉汤,,,,,
红焖土豆羊肉,,,,,
当归淮山煲羊汤,,,,,
鲜炖羊肉汤,,,,,
葱爆羊肉（懒人版）,,,,,
党参羊肉汤,,,,,
豆腐焖羊肉,,,,,
归地焖羊肉,,,,,
羊肉臊面片,,,,,
鲜羊肉汤,,,,,
滋补炖羊肉,,,,,
羊肉萝卜羹,,,,,
枸杞焖羊肉,,,,,
海带煲羊肉,,,,,
洋葱炝炒羊肉片,,,,,
蘑菇烧羊肉,,,,,
蒜仔苦瓜排骨汤,,,,,
白萝卜烧羊肉,,,,,
石锅羊肉炖土豆,,,,,
羊肉烧土豆块,,,,,
淮杞炖鸡汤,,,,,
鸡肉南瓜焖饭,,,,,
煲鸡肉汤,,,,,
芋块烧肉,,,,,
双冬焖鸭肉,,,,,
焖炖五花肉,,,,,
咸鲜肉末茄子,,,,,
肉末蒸鸡蛋羹,,,,,
卤蛋红烧肉,,,,,
小炒双椒牛肉,,,,,
香拌鹅肉,,,,,
酸甜炒鸡丁,,,,,
卤鸡胸,,,,,
鸡肉蔬菜色拉,,,,,
鸡茸粥,,,,,
鸡茸蘑菇浓汤,,,,,
胡萝卜咖喱鸡肉饭,,,,,
凉拌手撕鸡胸,,,,,
香辣口水鸡丝,,,,,
香菇鸡肉面,,,,,
咸鲜鸡肉青菜粥,,,,,
滋补党参田七炖鸡,,,,,
特色鸡丝凉拌面,,,,,
香菇滑鸡片,,,,,
猪肝白米粥,,,,,
辣椒炒肝尖,,,,,
鸡片炒包菜,,,,,
鸡肉蘑菇烧饭,,,,,
慈姑焖鸡,,,,,
柠檬鸡排,,,,,
首乌黑豆乌鸡汤,,,,,
黄芪乌鸡滋补汤,,,,,
辽参参焖鸡,,,,,
怀山煲鸡汤,,,,,
香滑鸡肉片,,,,,
葱香鸡丝,,,,,
煲鸡肉饭,,,,,
猪肝炒菠菜,,,,,
洋葱炝肝片,,,,,
炝炒猪肝,,,,,
猪肝明目汤,,,,,
猪肝枸杞汤,,,,,
猪肝绿豆粥,,,,,
西红柿猪肝菠菜面,,,,,
芋头煲鸭,,,,,
子姜香鸭,,,,,
子姜炒鸭片,,,,,
胡萝卜烧肉,,,,,
白萝卜烧牛肉,,,,,
冬瓜汆肉丸汤,,,,,
白玉老鸭汤,,,,,
滋补莲藕老鸭汤,,,,,
鸭胸炒茨菇,,,,,
火鸭炒白菜,,,,,
香菇蒸鸭块,,,,,
芹菜炒鲜蘑,,,,,
当归煲鸭肉,,,,,
清火鸭肉粥,,,,,
炖兔肉,,,,,
西芹煸肉片,,,,,
笋香炒肉,,,,,
土豆胡萝卜炖牛肉,,,,,
淮山羊肉汤,,,,,
尖椒炒肉,,,,,
豆角肉末,,,,,
烧猪肉,,,,,
萝卜烧兔肉,,,,,
酱爆肝片,,,,,
猪肝枸杞汤,,,,,
青瓜炒猪肝,,,,,
爆炒韭菜猪肝,,,,,
猪肝炒土豆,,,,,
猪肝鸡蛋汤,,,,,
菠菜猪肝汤,,,,,
猪肝肉泥,,,,,
肝香菜花,,,,,
溜肝尖,,,,,
家常香肠蒸豆腐,,,,,
家常香肠蛋炒饭,,,,,
大鹅烩土豆,,,,,
煮鸡蛋,,,,,
西红柿炒鸡蛋,,,,,
肉末蒸鸡蛋糕,,,,,
西红柿鸡蛋汤面,,,,,
鸡蛋煎米饼,,,,,
木耳西葫芦炒蛋,,,,,
蒸鸡蛋羹,,,,,
鸡蛋木耳炒西葫芦,,,,,
快手鸡蛋羹,,,,,
家常鸡蛋炒饭,,,,,
香煎鸡蛋馒头片,,,,,
葱香鸡蛋煎饼,,,,,
鸡蛋炒洋葱头,,,,,
糖心鸡蛋,,,,,
尖椒摊鸡蛋,,,,,
